Timestamp,Price
2026-01-19 12:15:49,92906
2026-01-19 12:16:21,92906
2026-01-19 12:16:29,92906
2026-01-19 12:16:34,92906
2026-01-19 12:19:58,92958
2026-01-19 12:20:01,92958
2026-01-19 12:20:03,92958
2026-01-19 12:24:19,93001
2026-01-19 12:26:51,93003
2026-01-19 12:27:55,92956
2026-01-19 12:30:13,92953
2026-01-19 12:30:24,92953
2026-01-19 12:30:34,92953
2026-01-19 12:31:48,92931
2026-01-19 12:31:48,92931
2026-01-19 12:31:59,92931
2026-01-19 12:31:59,92931
2026-01-19 12:33:14,92930
2026-01-19 12:33:14,92930
2026-01-19 12:34:28,92926
2026-01-19 12:34:28,92926
2026-01-19 12:34:39,92926
2026-01-19 12:34:39,92926
2026-01-19 12:35:53,92915
2026-01-19 12:35:53,92915
2026-01-19 12:36:04,92915
2026-01-19 12:36:04,92915
2026-01-19 12:37:20,92902
2026-01-19 12:37:20,92902
2026-01-19 12:37:31,92902
2026-01-19 12:37:31,92902
2026-01-19 12:38:46,92916
2026-01-19 12:38:46,92916
2026-01-19 12:38:56,92922
2026-01-19 12:38:56,92922
2026-01-19 12:40:11,92928
2026-01-19 12:40:21,92928
2026-01-19 12:40:32,92928
2026-01-19 12:41:47,92934
2026-01-19 12:41:57,92934
2026-01-19 12:42:08,92934
2026-01-19 12:42:19,92934
2026-01-19 12:43:33,92943
2026-01-19 12:43:43,92943
2026-01-19 12:43:43,92943
2026-01-19 12:44:57,92959
2026-01-19 12:45:08,92959
2026-01-19 12:45:19,92959
2026-01-19 12:45:29,92959
2026-01-19 12:46:44,92958
2026-01-19 12:46:45,92958
2026-01-19 12:46:54,92963
2026-01-19 12:47:05,92963
2026-01-19 12:48:19,92978
2026-01-19 12:48:30,92978
2026-01-19 12:48:41,92978
2026-01-19 12:49:47,92974
2026-01-19 12:49:55,92974
2026-01-19 12:50:06,92974
2026-01-19 12:50:17,92974
2026-01-19 12:51:31,92947
2026-01-19 12:51:42,92947
2026-01-19 12:51:48,92971
2026-01-19 12:52:57,92983
2026-01-19 12:53:08,92983
2026-01-19 12:53:18,92983
2026-01-19 12:53:29,92983
2026-01-19 12:54:44,92989
2026-01-19 12:54:55,92997
2026-01-19 12:55:06,92997
2026-01-19 12:55:17,92997
2026-01-19 12:56:32,92997
2026-01-19 12:56:42,92997
2026-01-19 12:56:53,92996
2026-01-19 12:57:03,92996
2026-01-19 12:58:18,93001
2026-01-19 12:58:28,93001
